[2026-04-22 20:37:33] Res: EXITOSO | Vel: 1.28 | Fuel: 52.0%
[2026-04-22 20:38:06] Res: EXITOSO | Vel: 0.89 | Fuel: 50.5%
[2026-04-22 20:38:18] Res: CHOQUE | Vel: 4.04 | Fuel: 100.0%
[2026-04-22 20:38:30] Res: CRASH | Vel: 15.03 | Fuel: 25.5%
[2026-04-22 20:38:40] Res: CRASH | Vel: 9.63 | Fuel: 79.5%
[2026-04-22 20:38:47] Res: CHOQUE | Vel: 3.12 | Fuel: 54.0%
[2026-04-28 23:41:30] Nivel: 2 | Res: ATERRIZAJE PERFECTO | Vel: 2.33 | Fuel: 41.5%
[2026-04-28 23:41:35] Nivel: 3 | Res: CÁPSULA DESTRUIDA | Vel: 5.93 | Fuel: 33.5%
[2026-04-28 23:41:38] Nivel: 3 | Res: CRASH / FUERA DE RUTA | Vel: -8.98 | Fuel: 34.0%
[2026-04-28 23:41:43] Nivel: 3 | Res: CRASH / FUERA DE RUTA | Vel: -23.58 | Fuel: 79.0%
[2026-04-28 23:41:49] Nivel: 3 | Res: CÁPSULA DESTRUIDA | Vel: 2.99 | Fuel: 19.5%
[2026-04-28 23:41:55] Nivel: 3 | Res: ATERRIZAJE PERFECTO | Vel: 0.47 | Fuel: 66.0%
[2026-04-28 23:41:59] Nivel: 4 | Res: CRASH / FUERA DE RUTA | Vel: 8.48 | Fuel: 14.5%
[2026-04-28 23:42:04] Nivel: 4 | Res: CÁPSULA DESTRUIDA | Vel: 3.35 | Fuel: 41.5%
[2026-04-28 23:42:16] Nivel: 4 | Res: CRASH / FUERA DE RUTA | Vel: 4.55 | Fuel: 61.0%
[2026-04-28 23:42:20] Nivel: 4 | Res: CRASH / FUERA DE RUTA | Vel: 6.97 | Fuel: 18.0%
[2026-04-28 23:42:24] Nivel: 4 | Res: CRASH / FUERA DE RUTA | Vel: -1.29 | Fuel: 32.5%
[2026-04-28 23:42:29] Nivel: 4 | Res: CÁPSULA DESTRUIDA | Vel: 3.11 | Fuel: 45.5%
[2026-04-28 23:42:41] Nivel: 4 | Res: CÁPSULA DESTRUIDA | Vel: 2.68 | Fuel: 57.5%
[2026-04-28 23:42:50] Nivel: 4 | Res: ATERRIZAJE PERFECTO | Vel: 1.91 | Fuel: 64.0%
[2026-04-28 23:42:59] Nivel: 5 | Res: CÁPSULA DESTRUIDA | Vel: 2.73 | Fuel: 49.5%
[2026-04-28 23:43:02] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 3.99 | Fuel: 14.5%
[2026-04-28 23:43:06] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 9.17 | Fuel: 17.5%
[2026-04-28 23:43:08] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 11.62 | Fuel: 1.0%
[2026-04-28 23:43:11] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 7.91 | Fuel: 19.5%
[2026-04-28 23:43:15] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 0.35 | Fuel: 35.5%
[2026-04-28 23:43:17] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 3.78 | Fuel: 14.0%
[2026-04-28 23:43:20] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 1.89 | Fuel: 23.5%
[2026-04-28 23:43:24] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 5.46 | Fuel: 36.0%
[2026-04-28 23:43:28] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 3.50 | Fuel: 25.0%
[2026-04-28 23:43:38] Nivel: 5 | Res: CÁPSULA DESTRUIDA | Vel: 2.73 | Fuel: 41.5%
[2026-04-28 23:43:45] Nivel: 5 | Res: CÁPSULA DESTRUIDA | Vel: 4.83 | Fuel: 17.5%
[2026-04-28 23:43:51] Nivel: 5 | Res: CÁPSULA DESTRUIDA | Vel: 4.06 | Fuel: 60.0%
[2026-04-28 23:43:54] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 2.31 | Fuel: 18.5%
[2026-04-28 23:43:56] Nivel: 5 | Res: CRASH / FUERA DE RUTA | Vel: 5.32 | Fuel: 11.0%
[2026-04-28 23:43:59] Nivel: 5 | Res: ATERRIZAJE PERFECTO | Vel: 1.26 | Fuel: 25.0%
